id,y
1,81.8281326294
2,100.998298645
3,82.394569397
4,76.4228668213
5,110.852088928
8,90.9167251587
10,108.31413269
11,93.4228057861
12,115.834709167
14,94.1067886353
15,115.317970276
16,103.96887207
17,95.4738464355
19,93.8078842163
20,103.773956299
21,96.9016418457
22,115.646095276
23,95.4738464355
26,93.9625244141
28,98.2692642212
29,95.4738464355
33,95.4738464355
35,94.2632293701
41,95.4738464355
42,93.8877639771
43,116.090011597
45,102.603652954
46,102.966163635
51,93.4602279663
53,81.2157440186
55,112.55644989
56,93.7476654053
57,103.496612549
58,94.2583312988
59,103.59526062
63,111.444694519
64,93.8765640259
65,104.967437744
69,93.922744751
71,95.3983917236
72,103.42956543
73,93.8231201172
76,103.620155334
77,104.372970581
78,115.584899902
82,93.9882049561
83,104.967437744
84,93.2925415039
85,102.913833618
87,111.423988342
88,95.4738464355
89,112.769035339
91,93.4072189331
93,94.3085632324
94,106.194801331
95,93.1745452881
96,111.28187561
97,93.700958252
98,111.400932312
99,93.2369308472
101,103.512580872
103,112.769035339
104,93.4095840454
105,111.319953918
110,93.8287200928
111,111.674659729
113,111.729888916
114,93.4488449097
115,111.729881287
117,112.769035339
120,93.7005691528
121,111.401985168
122,93.8185424805
123,111.852844238
126,112.027328491
132,111.942329407
135,104.102401733
137,103.969017029
138,93.9283218384
140,93.7517166138
142,111.906784058
144,111.956581116
148,93.2670288086
149,112.267524719
155,93.0361328125
156,111.660560608
157,93.700958252
162,111.849197388
163,94.4812393188
167,93.6436920166
172,116.090011597
179,113.411140442
180,93.366355896
181,111.197425842
182,94.2724609375
183,112.769035339
185,112.769035339
187,111.22794342
188,93.9357299805
189,93.3463058472
191,93.1942443848
192,111.813423157
193,94.1275787354
194,111.349822998
195,93.2203063965
196,111.963485718
198,96.8843307495
199,112.202293396
201,103.693443298
204,93.8730697632
205,103.837623596
206,93.4021072388
210,93.2338027954
211,103.512580872
216,111.984718323
219,115.943817139
220,93.2707672119
221,110.949523926
226,111.197425842
227,93.2275695801
228,111.908348083
230,111.619544983
231,93.700958252
235,116.208457947
236,93.2790985107
238,111.738052368
242,103.368034363
243,93.3101882935
244,78.0092697144
245,110.363937378
247,112.745834351
248,93.3464126587
249,93.9497756958
250,111.373916626
251,93.2790985107
253,116.208457947
254,94.3203125
256,94.5050048828
257,93.508026123
258,111.730712891
259,93.2328796387
262,79.0389633179
266,93.5028076172
267,111.479499817
272,102.906471252
273,112.769035339
275,95.4608917236
276,115.382919312
279,94.7036209106
280,104.967437744
283,93.4522247314
285,111.663978577
288,112.769035339
289,96.3454589844
290,103.913612366
291,93.7372360229
292,111.198028564
293,110.928787231
296,94.9507446289
297,111.52406311
298,115.333908081
299,93.9882049561
304,93.2639465332
305,94.227142334
306,93.1604309082
307,111.197425842
311,108.513145447
313,111.197425842
314,93.2937240601
316,92.9659347534
324,93.4102478027
327,95.8834762573
329,93.4318084717
330,111.349822998
337,104.656776428
338,94.0740203857
339,104.52772522
340,93.5592727661
343,93.6143569946
345,115.317970276
346,94.5569381714
347,111.522567749
349,111.641326904
350,93.2738571167
352,112.423545837
353,92.9028930664
354,78.1535797119
357,93.4977264404
358,112.573165894
362,111.760627747
364,115.588066101
365,103.137283325
366,95.0353164673
367,112.034675598
368,93.7197036743
370,78.235786438
373,94.3455276489
377,92.9621658325
378,110.588867188
382,103.620155334
384,111.908348083
390,93.1280288696
392,111.706298828
393,112.469566345
395,94.3229598999
396,104.456008911
399,79.0558547974
406,111.197425842
408,111.197425842
409,93.2291641235
410,78.1841049194
412,112.064163208
413,93.3162078857
419,92.8856964111
420,111.885948181
421,93.2111129761
430,102.102249146
434,93.3975524902
436,93.6923675537
437,93.7476654053
438,93.5587234497
439,111.461006165
440,93.4909362793
443,112.686775208
446,93.8730697632
448,92.9272766113
452,93.7977981567
453,103.80796051
457,104.182044983
458,93.4907684326
459,114.084732056
460,103.067085266
462,103.851242065
464,102.762413025
465,115.834709167
467,117.890930176
471,112.658866882
472,77.9255371094
473,95.7118606567
475,94.0618515015
480,94.1583480835
488,112.036598206
490,111.197425842
491,103.341682434
492,78.326385498
493,94.0772781372
497,92.1938400269
498,111.218429565
499,94.1130065918
500,102.786323547
501,93.5432434082
502,112.182739258
506,80.9616165161
510,110.790710449
511,92.3240356445
512,93.3793334961
516,93.9215164185
518,92.9484863281
519,111.394744873
521,92.2742233276
522,111.99395752
526,112.210754395
529,93.7640686035
532,111.366676331
533,93.8618545532
536,112.470298767
537,101.545822144
539,93.8634719849
540,103.477790833
541,94.2791748047
543,93.3987808228
546,112.058822632
547,92.9731903076
548,78.567527771
551,93.6955413818
552,102.696029663
556,103.51701355
557,94.9022598267
558,112.034675598
559,93.9661102295
560,103.603912354
562,103.854721069
566,93.5280609131
570,111.218429565
571,93.7476654053
572,104.967437744
573,93.9357299805
575,115.834709167
576,111.599838257
577,94.4621810913
579,93.3198318481
580,111.169143677
581,111.882583618
589,111.197425842
591,102.69303894
593,93.7668762207
594,102.902229309
595,94.0683364868
598,93.2201156616
602,111.287612915
604,111.756576538
606,108.938598633
608,95.0353164673
609,103.512580872
610,93.4049758911
616,110.937263489
617,94.5526275635
618,102.462226868
620,103.676689148
622,112.236160278
623,93.3178024292
624,138.544448853
626,111.309265137
628,111.417053223
629,93.9983825684
630,111.619544983
637,93.8993682861
638,103.468933105
643,97.0320968628
645,94.1583480835
646,115.477622986
648,95.3716125488
652,93.4138031006
653,93.7476654053
654,111.218429565
656,112.884910583
657,96.4940185547
659,93.5580368042
660,103.599159241
663,93.0414886475
664,111.980201721
666,102.875259399
668,111.292678833
669,93.4688568115
671,94.6812973022
675,93.6877059937
677,93.1688919067
678,110.60168457
679,103.792251587
682,96.1147689819
685,103.342681885
687,93.8758468628
688,92.6473770142
693,111.56237793
696,95.1951065063
698,93.8668289185
701,96.7167205811
704,103.612922668
705,115.817611694
709,112.922302246
710,93.4403991699
711,104.468742371
712,94.0740127563
714,110.744911194
715,93.5661087036
716,111.197425842
717,93.4771957397
720,115.317970276
721,93.1942443848
724,102.725196838
725,93.5425872803
726,111.884735107
728,111.658050537
731,93.5477142334
734,103.928512573
738,93.4485092163
745,111.071502686
746,93.3100967407
751,78.4907531738
754,94.1429138184
756,93.1788787842
758,93.5112915039
759,111.518188477
761,114.30657196
766,94.1132888794
767,111.213226318
768,93.3178024292
769,112.552909851
770,93.980758667
771,78.1573486328
772,104.235176086
773,93.6955413818
774,110.77545929
776,111.908348083
777,94.5205230713
780,115.980903625
782,103.611068726
787,102.96975708
788,93.8634719849
792,93.0742111206
793,111.97644043
798,95.7811355591
800,93.4255523682
806,111.197425842
809,111.927070618
811,112.253211975
812,92.9028930664
814,115.834709167
816,103.186126709
817,93.9661102295
818,106.717536926
820,110.547424316
823,93.4907684326
829,93.0296096802
830,111.249702454
831,91.8453598022
834,110.829948425
839,94.3383636475
841,77.9624633789
844,103.509750366
845,93.4077529907
848,93.2639465332
850,95.9561386108
851,103.561340332
852,93.237197876
854,92.8495407104
855,94.7998886108
856,102.047805786
859,102.016052246
861,110.77545929
864,93.5791397095
865,110.77545929
866,93.2880783081
867,93.2081375122
869,94.0539016724
871,92.8529586792
872,111.197425842
882,102.75969696
883,93.3975524902
885,93.7826843262
888,95.9359512329
893,111.197425842
901,110.453605652
903,103.474960327
904,94.2532348633
905,103.313735962
910,94.3157577515
911,110.590858459
914,111.909332275
918,112.47026825
921,92.9583587646
928,93.9163284302
929,103.492767334
932,93.4220428467
933,103.251502991
934,94.3157577515
935,111.366424561
937,78.0308837891
939,93.9882049561
940,103.186172485
941,94.0146026611
942,103.677001953
943,94.0389556885
944,103.023155212
947,111.197425842
949,111.492523193
951,111.113113403
952,94.1777648926
953,103.474960327
954,77.4562759399
957,111.908348083
959,93.1286087036
960,113.744613647
963,115.834709167
965,111.197425842
967,102.96572876
971,94.2878646851
972,78.0296020508
973,93.450050354
974,112.142883301
975,94.0812759399
978,118.454833984
980,112.61516571
981,94.3265762329
984,112.117637634
986,94.3157577515
988,93.3178024292
989,111.888618469
990,105.17755127
992,110.453605652
996,93.7517166138
999,112.211380005
1000,93.280670166
1001,110.77545929
1002,93.1830368042
1003,111.908348083
1004,93.2111129761
1008,111.158180237
1009,93.6854934692
1010,107.454597473
1012,114.694068909
1013,93.2779998779
1014,112.480743408
1015,92.9054336548
1016,115.817611694
1019,92.2878036499
1020,111.681121826
1021,94.3157577515
1022,103.255554199
1024,94.3157577515
1025,78.4475097656
1027,93.6640701294
1028,103.971046448
1029,93.2280273438
1030,93.5119018555
1033,112.009056091
1036,94.8399963379
1037,111.141716003
1038,93.1397781372
1042,93.9882049561
1043,103.267341614
1044,93.4434967041
1045,111.100067139
1047,113.887924194
1050,93.3463058472
1051,111.197425842
1054,93.4907684326
1056,94.3265762329
1057,93.3450775146
1059,93.5516815186
1062,101.990234375
1063,103.102996826
1064,94.3265762329
1066,93.4080810547
1070,104.080795288
1076,111.010803223
1077,103.534141541
1078,112.245353699
1080,111.548797607
1082,111.98084259
1083,95.8834762573
1089,111.824279785
1091,95.9359512329
1093,93.9283218384
1097,94.6007919312
1099,93.2828063965
1101,94.3157577515
1103,94.2238769531
1104,111.36869812
1106,111.115211487
1109,94.4231109619
1110,111.088760376
1111,93.8030395508
1112,112.574256897
1114,93.4602279663
